OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
913299,04092016677,MONA PITA MEDITERRANEAN GRILL,5260 CAPITAL BLVD ,SUITE 101,RALEIGH,NC,27616,(919) 431-6500,2014/04/22 00:00:00+00,Restaurant,486,-78.580183,35.85814638,M
913300,04092110465,Sanford Creek Elem. Cafeteria,707 Granite Falls BLVD ,,ROLESVILLE,NC,27571,(919) 570-2115,2007/07/06 00:00:00+00,Public School Lunchrooms,488,-78.46033895,35.92844353,M
913301,04092016083,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,,FUQUAY-VARINA,NC,27526,(919) 567-8272,2012/01/31 00:00:00+00,Restaurant,490,-78.72584265,35.62514941,M
913302,04092018318,TASU #2,525 NEW WAVERLY  PL ,SUITE 103,CARY,NC,27518,(919) 977-4037,2020/02/11 00:00:00+00,Restaurant,504,-78.77756307,35.73853619,M
913303,04092017895,Anjappar,101 Ledgestone WAY ,,CARY,NC,27519,,2018/07/26 00:00:00+00,Restaurant,512,-78.84803797,35.79230683,M
913304,04092021954,EDIBLE ARRANGEMENTS #365-CARY,207 CROSSROADS BLVD ,,CARY,NC,27511,(919) 851-7065,2016/04/15 00:00:00+00,Food Stand,521,-78.73871452,35.76064286,M
913305,04092017686,THE PICKLED ONION,10750 WAKEFIELD COMMONS DR ,SUITE 107,RALEIGH,NC,27614,(919) 848-4161,2017/09/29 00:00:00+00,Restaurant,529,-78.54123068,35.94195641,M
913306,04092021963,PUBLIX #1520 DELI,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 00:00:00+00,Food Stand,537,-78.79652253,35.70711378,M
913307,04092016440,CASE DINING HALL,240 JETER DR ,,RALEIGH,NC,27695,(919) 515-2100,2013/06/06 00:00:00+00,Restaurant,538,-78.67872874,35.78448278,M
913308,04092021711,CRUIZERS #44,13250 NEW FALLS OF NEUSE  RD ,,RALEIGH,NC,27614,(919) 554-3148,2012/06/06 00:00:00+00,Food Stand,548,-78.56042268,35.94164077,M
913309,04092016439,RANDY'S PIZZA,2458 WYCLIFF RD ,,RALEIGH,NC,27607,(919) 322-5990,2013/05/31 00:00:00+00,Restaurant,561,-78.692995,35.81676997,M
913310,04092018287,Zanyu Asian Noodles,8450 HONEYCUTT RD ,STE. 112,RALEIGH,NC,27615,(919) 803-1340,2020/01/07 00:00:00+00,Restaurant,563,-78.62166097,35.89510574,M
913311,04092017521,MCDONALDS #13159,1725 New Hope Church Rd,,RALEIGH,NC,27609,(919) 713-0903,2017/02/22 00:00:00+00,Restaurant,573,-78.60826495,35.83722719,M
913312,04092017926,Pure Juicery Bar,716 Slash Pine DR ,,Cary,NC,27519,(919) 234-1572,2018/07/06 00:00:00+00,Restaurant,585,-78.90892711,35.83075427,M
913313,04092021936,CIRCLE K #3146,1720  N MAIN ST ,,FUQUAY VARINA,NC,27526,,2016/02/25 00:00:00+00,Food Stand,589,-78.75810908,35.59678082,M
913314,04092021889,FOOD LION #2504 PRODUCE,1030-125 N ROGERS LN ,,RALEIGH,NC,27610,(919) 792-0321,2015/10/06 00:00:00+00,Food Stand,576,-78.54967347,35.79198567,M
913315,04092017053,CHILI'S GRILL & BAR #1566,111 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-7841,2015/10/09 00:00:00+00,Restaurant,603,-78.84935077,35.65965931,M
913316,04092021746,WALMART NEIGHBORHOOD DELI #4147,3560 DAVIS DR ,,MORRISVILLE,NC,27560,(919) 388-2731,2013/06/18 00:00:00+00,Food Stand,608,-78.84576194,35.81812076,M
913317,04092021426,Speedway #6959,2808 US Hwy 70 W ,,CLAYTON,NC,27520-9321,(919) 553-3535,2006/12/21 00:00:00+00,Food Stand,581,0,0,U
913318,04092021961,PUBLIX #1520 MEAT/SEAFOOD,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 00:00:00+00,Food Stand,614,-78.79652253,35.70711378,M
913319,04092016595,SMITHFIELD'S CHICKEN'N BAR-B-Q,7911 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 661-9151,2014/01/03 00:00:00+00,Restaurant,615,-78.69699987,35.66636356,M
913320,04092015101,Michelangelos,7280 GB Alford  HWY ,,HOLLY SPRINGS,NC,27540,(919) 557-4992,2008/03/26 00:00:00+00,Restaurant,627,-78.83292783,35.63500069,M
913321,04092017901,Vaishno Bhog,810 E Chatham ST ,,CARY,NC,27560,(919) 678-3172,2018/07/11 00:00:00+00,Restaurant,630,-78.76305622,35.79140272,M
913322,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009/12/30 00:00:00+00,Private School Lunchrooms,633,-78.62608851,35.88760817,M
913323,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018/07/25 00:00:00+00,Restaurant,634,-78.6456917,35.77945516,M
913324,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016/03/29 00:00:00+00,Restaurant,635,-78.58356211,35.69799194,M
913325,04092015942,RED BOWL ASIAN BISTRO,2020 BOULDERSTONE WAY ,,CARY,NC,27519,(919) 388-9977,2011/05/18 00:00:00+00,Restaurant,641,-78.84859346,35.79156535,M
913326,04092014687,Jumbo China,13200-121 New Falls of Neuse RD ,,RALEIGH,NC,27614,(919) 861-8858,2006/08/03 00:00:00+00,Restaurant,653,0,0,U
913327,04092014640,Bojangles#37,1000 Claren CIR,,MORRISVILLE,NC,27560,(919) 460-7171,2006/07/06 00:00:00+00,Restaurant,655,-78.82373946,35.85573083,M
913328,04092017047,CHICK-FIL-A #03376,3770 LAKE BOONE TRL ,,RALEIGH,NC,27607,(919) 420-2471,2015/10/01 00:00:00+00,Restaurant,658,-78.692995,35.81676997,M
913329,04092014597,Ba-Da Wings,2161 Avent Ferry RD ,Ste.100,RALEIGH,NC,27606,(919) 832-3902,2006/06/09 00:00:00+00,Restaurant,660,-78.67605091,35.77835817,M
913330,04092015604,WAFFLE HOUSE #725,2624 WESTINGHOUSE BLVD ,,RALEIGH,NC,27604-2471,(919) 833-5954,2010/04/19 00:00:00+00,Restaurant,665,-78.59823562,35.81659394,M
913331,04092014757,Arby's #7814,2601 Wake Forest RD ,,RALEIGH,NC,27609,(919) 832-6885,2007/01/08 00:00:00+00,Restaurant,682,-78.62513234,35.81840468,M
913332,04092014947,Hardee's #1207,5639 Hillsborough ST ,,RALEIGH,NC,27606,(919) 859-0607,2007/09/11 00:00:00+00,Restaurant,688,-78.72266449,35.785856,M
913333,04092017894,Which Wich #670,7202 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 373-8883,2018/07/26 00:00:00+00,Restaurant,704,-78.48704631,35.79788571,M
913334,04092021475,Lowes Foods #226 Produce,8440 louisburg rd ,,RALEIGH,NC,27616,(919) 866-1031,2007/09/14 00:00:00+00,Food Stand,709,-78.50930992,35.89359383,M
913335,04092022014,HARRIS TEETER #298 STARBUCKS,10140 GREEN LEVEL CHURCH RD ,,CARY,NC,27519,(919) 460-3126,2017/05/16 00:00:00+00,Food Stand,712,-78.90107787,35.82060358,M
913336,04092030477,Super Ceviche (WCID #720),2201 S WILMINGTON ST,,RALEIGH,NC,27603,(919) 357-0085,2020/05/11 00:00:00+00,Mobile Food Units,713,-78.63902655,35.752054,M
913337,04092030425,Mi Rancho Antojitos (WCID #476),2549 S. Saunders ST ,,RALEIGH,NC,27603,(919) 593-5405,2019/06/06 00:00:00+00,Mobile Food Units,732,-78.64827659,35.74907859,M
913338,04092016810,HIGHCRAFT BEER MARKET,2716 HWY. 55,,CARY,NC,27519,(919) 267-6593,2014/11/13 00:00:00+00,Restaurant,659,0,0,U
913339,04092021893,FOOD LION #1654 PRODUCE,7440 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 875-1394,2015/10/21 00:00:00+00,Food Stand,733,-78.53977,35.87454018,M
913340,04092014754,Lam's Garden Restaurant,1100-113 Raleigh BLVD ,,RALEIGH,NC,27610,(919) 828-2118,2006/12/22 00:00:00+00,Restaurant,663,-78.61277558,35.79430477,M
913341,04092030290,TAQUERIA LA COSTENA (WCID #537),"Corner of Green Level West Rd &amp; Autumn Shade Dr",,Cary,NC,00000,(919) 244-0786,2015/10/09 00:00:00+00,Mobile Food Units,705,0,0,U
913342,04092021894,FOOD LION #2534 PRODUCE,13200 NEW FALLS ON NEUSE RD ,,RALEIGH,NC,27614,(919) 562-8912,2015/10/21 00:00:00+00,Food Stand,734,0,0,U
913343,04092021901,FOOD LION #723 PRODUCE,7053 US 64 HWY E ,,KNIGHTDALE,NC,27545,(919) 266-5164,2015/10/27 00:00:00+00,Food Stand,735,0,0,U
913344,04092014553,KFC/Taco Bell #J120104,1011 N Harrison AVE,,CARY,NC,27513,(919) 467-6318,2006/04/21 00:00:00+00,Restaurant,744,-78.78357999,35.80351274,M
913345,04092015546,HAYASHI JAPANESE RESTAURANT,13200 NEW FALLS OF NUESE RD ,STE 105,RALEIGH,NC,27614,(919) 554-0508,2010/01/05 00:00:00+00,Restaurant,761,-78.55981965,35.9407555,M
913346,04092160058,BROOKDALE WAKE FOREST DINING,611 S Brooks ST,,WAKE FOREST,NC,27587,(919) 562-8400,2006/09/05 00:00:00+00,Institutional Food Service,741,-78.5098293,35.97161717,M
913347,04092017041,FIREHOUSE SUBS #1138,4111 ED DR ,,RALEIGH,NC,27612,(919) 783-7102,2015/09/22 00:00:00+00,Restaurant,791,-78.70458274,35.82558522,M
913348,04092014769,Umstead Hotel & Spa Food Service,100 Woodland Pond ,,CARY,NC,27513,(919) 447-4000,2007/01/12 00:00:00+00,Restaurant,790,-78.76554053,35.82938634,M
913349,04092016475,SONIC #5864,109 JONES FRANKLIN RD ,,RALEIGH,NC,27606,(919) 854-4602,2013/09/09 00:00:00+00,Restaurant,813,-78.72125905,35.78415702,M
913350,04092015530,SUBWAY #3726,12233 CAPITAL BLVD ,,WAKE FOREST,NC,27587-6200,(919) 556-8622,2009/12/11 00:00:00+00,Restaurant,815,-78.54097555,35.98087356,M
913351,04092016016,CHINA UNO,308  VILLAGE WALK  DR ,,HOLLY SPRINGS,NC,27540,(919) 557-9888,2011/10/11 00:00:00+00,Restaurant,817,-78.83920922,35.63987917,M
913352,04092014673,Bosphorus Restaurant,329 N Harrison AVE ,,CARY,NC,27513,(919) 460-1300,2006/09/06 00:00:00+00,Restaurant,820,-78.78374109,35.78994545,M
913353,04092015704,#1 CHINA WOK,942 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(919) 570-1688,2010/08/30 00:00:00+00,Restaurant,827,-78.4951784,35.96732914,M
913354,04092021474,Lee's Kitchen,4638 Capital BLVD ,,RALEIGH,NC,27604,(919) 872-7422,2007/09/20 00:00:00+00,Food Stand,836,-78.57926249,35.84833828,M
913355,04092021574,WALMART SUPERCENTER #4250 DELI,1001 SHILOH GLENN  DR ,,MORRISVILLE,NC,27560,(919) 474-2285,2009/06/16 00:00:00+00,Food Stand,841,-78.84693338,35.86659083,M
913356,04092014558,KFC #J120095,4040 Capital BLVD,,RALEIGH,NC,27604,(919) 872-5356,2006/04/24 00:00:00+00,Restaurant,844,-78.58107016,35.83615994,M
913357,04092014977,Starbucks Coffee Co,8204-120 Tryon Woods DR ,,CARY,NC,27518,(919) 851-6439,2007/10/22 00:00:00+00,Restaurant,837,-78.74169613,35.74700826,M
